7,8,9,10,11,12,13,14,15,16,17
0,1,3,9,2,16,5,16,3,0,0
1,1,135,394,386,651,634,611,550,374,60
0,303,505,14,4,731,701,422,729,644,85
1,2,119,307,500,588,0,1,6,1,0
0,0,0,0,0,1,1,1,0,0,0
0,356,698,826,872,864,852,821,706,257,22
1,370,725,831,876,890,890,844,787,600,127
0,380,737,861,868,820,794,653,611,437,67
1,316,700,795,828,697,453,267,4,1,54
0,169,538,658,765,750,695,643,574,411,65
1,145,485,632,714,754,764,719,665,496,115
1,109,569,663,361,710,724,601,260,340,162
1,31,23,72,525,618,510,426,538,98,0
0,7,30,1,0,2,13,0,2,25,15
0,0,30,17,1,674,67,0,9,0,0
0,0,1,3,1,2,0,2,1,0,0
1,381,798,899,946,960,959,927,865,723,257
0,237,765,865,915,720,483,835,784,623,220
0,0,1,27,113,251,23,100,95,11,1
0,65,247,377,457,491,653,426,319,244,0
0,405,777,879,929,940,926,756,756,676,267
1,209,732,855,894,898,877,840,829,673,124
1,485,719,422,564,394,5,2,0,0,0
0,1,0,1,0,2,0,1,0,0,0
0,559,812,889,936,917,896,845,767,452,76
0,133,421,530,896,434,46,40,2,1,4
0,6,42,245,159,237,573,349,300,103,2
0,1,0,19,15,3,8,2,1,0,0
0,0,1,3,6,72,119,45,24,23,193
2,369,724,836,884,885,889,837,757,622,262
1,20,171,50,135,323,368,638,695,392,9
